Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects
16.0,Spotify,6.0,True,False,False,K pop,True,True,169.0,1,0,0,1,2,3,1,3,3,3,0,2,3,3,1,0,7.0,8.0,7.0,5.0,0
23.0,Apple Music,1.0,False,False,False,Rap,False,True,140.0,2,1,2,1,0,3,3,0,0,0,2,1,1,3,3,1,10.0,6.0,3.0,10.0,1
23.0,Spotify,12.0,True,False,False,Pop,True,True,96.0,3,1,0,3,0,1,2,1,1,1,0,3,2,1,1,0,3.0,7.0,5.0,5.0,1
22.0,Spotify,4.0,True,False,True,Rock,True,True,126.0,1,0,1,2,0,1,1,0,0,1,2,3,2,1,3,1,8.0,7.0,4.0,3.0,0
16.0,Apple Music,2.0,True,True,False,Classical,True,False,120.0,3,0,0,0,0,1,2,0,0,0,0,1,1,1,2,1,0.0,0.0,1.0,3.0,0
18.0,Spotify,6.0,True,False,False,Rock,True,False,91.0,1,0,0,1,0,0,0,0,0,0,3,1,0,2,3,0,8.0,6.0,2.0,10.0,1
42.0,No Streaming Service,0.0,True,False,False,Rock,False,True,120.0,1,1,0,0,0,0,1,0,0,0,2,1,1,0,2,2,9.0,0.0,10.0,0.0,1
23.0,Spotify,7.0,True,False,False,Folk,True,True,55.0,1,3,0,3,3,2,1,0,1,0,2,2,1,1,1,2,6.0,4.0,2.0,3.0,0
23.0,No Streaming Service,1.0,True,True,False,Video game music,False,False,85.0,2,2,2,1,0,1,2,1,1,3,0,2,3,1,2,3,7.0,0.0,0.0,2.0,0
19.0,YouTube Music,1.0,False,True,False,K pop,True,True,160.0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,10.0,1.0,0.0,0.0,0
